"No","업체명 [ENTPNAME] ","제품명 [ITEMNAME] ","품목기준코드 [ITEMSEQ] ","문항1(효능) [EFCYQESITM] ","문항2(사용법) [USEMETHODQESITM] ","문항3(주의사항 경고) [ATPNWARNQESITM] ","문항4(주의사항) [ATPNQESITM] ","문항5(상호작용) [INTRCQESITM] ","문항6(부작용) [SEQESITM] ","문항7(보관법) [DEPOSITMETHODQESITM] ","공개일자 [OPENDE] ","수정일자 [UPDATEDE] ","낱알이미지 [ITEMIMAGE] ","사업자등록번호 [BIZRNO] ","rownum"
"1","동화약품(주)","활명수","195700020","이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.","만 15세 이상 및 성인은 1회 1병(75 mL), 만 11세이상~만 15세미만은 1회 2/3병(50 mL), 만 8세 이상~만 11세 미만은 1회 1/2병(37.5 mL), 만 5세 이상~만 8세 미만은 1회 1/3병(25 mL), 만 3세 이상~만 5세 미만은 1회 1/4병(18.75 mL), 만 1세 이상~만 3세 미만은 1회 1/5병(15 mL),?1일 3회 식후에 복용합니다. 복용간격은 4시간 이상으로 합니다.","","만 3개월 미만의 젖먹이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?만 1세 미만의 젖먹이, 임부 또는 임신하고 있을 가능성이 있는 여성, 카라멜에 과민증 환자 또는 경험자, 나트륨 제한 식이를 하는 사람은?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.1개월 정도?복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","","","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2024-05-09","","1108100102","1"
"2","신신제약(주)","신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER)","195900034","이 약은 티눈, 못(굳은살), 사마귀에 사용합니다.?","이형지로부터 벗겨 이 약제면을 환부(질환 부위)에 대고 테이프로 고정하고 2~5일마다 교체하여 붙입니다.","","이 약에 과민증 환자,?당뇨병, 혈액순환장애 환자는 이 약을 사용하지 마십시오.눈 주위, 점막, 감염, 염증, 발적(충혈되어 붉어짐), 자극이 있는 부위, 점, 태어날 때부터 있는 점 또는 사마귀, 털이 있는 사마귀, 생식기 부위의 사마귀에 사용하지 마십시오.이 약을 사용하기 전에?영아?및 유아, 약 또는 화장품에 과민증 환자, 신부전 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.화농(곪음)성피부염, 습윤(습기 참), 미란(짓무름)의 경우 이를 미리 치료한 후 이 약을 적용하십시오.이 약을 붙인 채로 물 속에 들어가는 경우에는 약고가 녹아서 없어질 수 있으므로 주의하십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.이 약은 외용으로만 사용하십시오.눈, 코, 입 및 다른 점막에 닿지 않도록 주의하여 적용하고, 만일 눈에 들어갔을 경우 충분한 양의 물로 완전히 씻어내십시오.환부(질환 부위) 이외의 피부에 닿지 않도록 주의하십시오.","메토트렉세이트, 설포닐우레아, 다른 국소 적용 약물과?함께 사용 시 의사 또는 약사와 상의하십시오.","발진, 발적(충혈되어 붉어짐), 홍반(붉은 반점), 가려움,?정상 피부에 닿았을 경우 국소 자극 반응이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.드물게 피부자극, 접촉성 알레르기 반응 등이 나타날 수 있습니다.","습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-11-25","","1188104136","2"
"3","삼진제약(주)","아네모정","195900043","이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","성인 1회 2정, 1일 3회 식간(식사와 식사때 사이) 및 취침시에 복용합니다.","","투석요법을 받고 있는 환자, 수유부,?만 7세 이하의 어린이,?갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 이 약에 과민증 환자, 알레르기 체질, 알레르기 증상(발진, 충혈되어 붉어짐, 가려움 등) 경험자, 신장장애 환자,?임부 또는 임신하고 있을 가능성이 있는 여성, 나트륨 제한 식이를 하는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.","위장진통ㆍ진경제, 테트라사이클린계 항생제와 함께 복용하지 마십시오.","발진, 충혈되어 붉어짐, 가려움, 드물게 입이 마르는 증상, 변비 또는 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035092098000085","1248531621","3"
"4","동아제약(주)","타치온정50밀리그램(글루타티온(환원형))","197100015","이 약은?약물중독, 자가중독에 사용합니다.","성인은 1회 1~2정(50~100 mg), 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감합니다.","","","","드물게 발진, 식욕부진, 구역, 구토, 위통 등이?나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-10-01 00:00:00","2024-01-11","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F66kj","2048640118","4"
"5","(주)보령","겔포스현탁액(인산알루미늄겔)","197400207","이 약은 위·십이지장 궤양, 위염, 위산과다(속쓰림, 위통, 구역, 구토)의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1포씩, 1일 3~4회 식간(식사 때와 식사 때 사이)?및 취침 시 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.","","이 약을 복용하기 전에 신장장애, 변비 환자는 의사 또는 약사와 상의하십시오.","테트라사이클린계 항생물질과 함께 사용하지 마십시오.","변비 등이 나타날 수 있습니다.","빛을 피해 실온에서 보관하십시오.","2021-02-25 00:00:00","2024-11-29","","2088100281","5"
"6","일양약품(주)","일양노이겔현탁액(규산알루민산마그네슘)","197700189","이 약은 위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1/2포~1포(0.5~1 g) 1일 3~4회 공복시에 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.","","이 약을 복용하기 전에?간장애, 심기능장애,?고마그네슘혈증 환자는 의사 또는 약사와 상의하십시오.","테트라사이클린계 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.","때때로 설사, 구역, 구토, 변비 구갈, 가려움증 등이 나타날 수 있습니다.","빛을 피해 실온에서 보관하십시오.","2021-02-25 00:00:00","2021-02-25","","2098100872","6"
"11","알보젠코리아(주)","세나서트2밀리그람질정","198401161","이 약은 세균성질증에 사용합니다.","성인은 1회 1정, 1일 1회 질내 깊숙이 삽입합니다.","","이 약에 과민증 환자는 이 약을 사용하지 마십시오.이 약은 질에만 사용하고 내복용으로는 사용하지 마십시오.이 약은 콘돔, 질내피임용격막과 같은 라텍스 또는 고무제품을 약화시킬 수 있으므로 주의하십시오.","","자극감 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 서늘한 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6EVc","2158121950","11"
"7","일양약품(주)","일양노이시린에이정(규산알루민산마그네슘)","197800242","이 약은 위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1~2정(0.5~1 g), 1일 3~4회 공복시에 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.","","이 약을 복용하기 전에?간장애, 심기능장애,?고마그네슘혈증 환자는 의사 또는 약사와 상의하십시오.","테트라사이클린계 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.","때때로 설사, 구역, 구토, 변비 구갈, 가려움증 등이 나타날 수 있습니다.","","2021-02-25 00:00:00","2021-02-25","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148674126111200110","2098100872","7"
"8","정우신약(주)","자모","195900045","이 약은 기침, 가래, 천식에 사용합니다.","성인은 1회 10 g, 11~14세는 1회 7 g, 8~10세는 1회 5 g, 5~7세는 1회 3 g씩, 1일 3회 식후에 복용합니다.","","임부 또는 임신하고 있을 가능성이 있는 여성은 이 약을 복용하지 마십시오.이 약에 과민증 환자, 두드러기, 접촉성 피부염, 알레르기성 비염, 편두통, 음식물 알레르기 등을 일으키기 쉬운 체질을 갖고 있는 환자,?달걀에?알레르기 경험자는?의사 또는 약사와 상의하십시오.이 약을 복용하기 전에 간장애, 신장애, 갑상선질환, 당뇨병, 고열 환자, 허약자, 심장애, 고혈압, 부종, 녹내장(눈의 통증, 눈의 침침함 등) 또는 배뇨장애 환자, 고령자는?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.이 약 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","다른 진해거담제, 감기약, 항히스타민제, 진정제, 알코올과 함께 복용하지 마십시오.","발진, 발적, 구역, 구토, 식욕부진, 어지러움, 요량이 감소하고, 얼굴과 손발이 붓고, 손이 굳어지고, 혈압이 오르며 두통 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2020-12-24 00:00:00","2021-01-29","","1048158517","8"
"9","(주)유한양행","페니라민정(클로르페니라민말레산염)","196000011","이 약은 고초열(꽃가루 알레르기비염), 두드러기, 가려움성 피부질환(습진, 피부염, 피부가려움증, 약물발진), 알레르기 비염, 혈관운동성 코염, 코감기에 의한 재채기, 콧물, 기침, 혈관운동성 부기에 사용합니다.","성인은 1회 1~3정(2~6 mg)씩, 1일 2~4회 복용합니다.1일 12정(24 mg)을 초과하지 마십시오.","","이 약에 과민증 환자,?녹내장,?전립선비대 등 하부요로폐색(닫혀서 막힘)성 질환, 미숙아 및 신생아는?이 약을 복용하지 마십시오.이 약을 복용하기 전에?3세 미만 유아,?임부 및 수유부, 고령자,?안내압(눈내부 압력)상승,?갑상샘기능항진,?협착(좁아짐)성소화성궤양 또는 유문십이지장 폐색(닫혀서 막힘),?순환계질환, 고혈압 등 심혈관계 질환, 기관지염, 기관지확장증 및 천식, 간질, 간질환, 뇌졸증, 중증(심한 증상) 관상동맥(심장동맥)부전, 발작 환자 또는 경험자는 의사 또는 약사와 상의하십시오.이 약은 복용 후 졸음을 유발할 수 있으므로 운전 및 기계조작 시 주의하십시오.","이 약을 복용하는 동안 MAO 억제제를?복용하지 마십시오.알코올, 중추신경억제제, 페니토인을?함께 복용 시?의사 또는 약사와 상의하십시오.","청색증, 호흡곤란, 흉부불쾌감, 혈압저하, 경련, 착란, 재생불량성빈혈, 무과립구증, 발진, 햇빛 노출 시 피부 과민반응, 박리(벗겨짐)성 피부염, 두드러기, 연축(뒤당김/수축), 근허약, 협조불능, 진정, 졸음, 신경과민, 두통, 초조감, 복시(겹보임), 불면, 어지럼, 이명(귀울림), 전정장애(평형기능장애), 다행증(이상행복감), 정서불안, 히스테리, 진전(떨림), 신경염, 협조이상, 감각이상, 무시, 집중력감소, 권태감, 구갈(목마름), 가슴쓰림, 식욕부진, 소화불량, 구역, 구토, 복통(배아픔), 변비, 설사, 빈뇨, 배뇨곤란, 요폐(소변축적), 요저류(고임), 저혈압, 심계항진(두근거림), 빈맥(빠른맥), 부정맥, 기외수축(조기수축), 간염, 황달, 코 또는 기도의 건조, 기관분비액의 점성화, 천명(숨을 쌕쌕거림), 코막힘, 용혈성(적혈구 파괴성)빈혈, 혈소판감소, 간기능 장애, 오한(춥고 떨리는 증상), 발한(땀이 남)이상, 흉통(가슴통증), 피로감, 월경이상 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2020-12-24 00:00:00","2024-11-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Orz9gcUHnw","1188100601","9"
"18","대한약품공업(주)","대한염화나트륨액","199100317","이 약은 피부, 창상면, 점막의 세정, 습포, 함소, 분무흡입제로서 점막세정, 객담배출 촉진, 의료용구의 세정에 사용합니다.","적당량을 사용합니다.","","이 약을 주사용으로 사용하지 마십시오.","","","실온에서 보관하십시오.","2023-08-17 00:00:00","2023-08-13","","1348500111","18"
"19","삼일제약(주)","옵타젠트점안액(포비돈)","199100655","이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.","1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.","","치료 중에는 소프트콘택트렌즈의 착용을 피하십시오.점안용으로만 사용하십시오.오염을 방지하기 위해 될 수 있는 한 공동으로 사용하지 마십시오.","","매우 드물게 과민반응이 나타날 수 있습니다.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","","1348500765","19"
"20","해태에이치티비(주)","1.영진구론산바몬드액2.영진구론산바몬드스파클링액","199200813","이 약은 자양강장, 피로회복에 사용합니다.","15세 이상 및 성인은 1회 1병, 1일 1~2회 복용합니다.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.","","이 약에 과민증 환자는?이 약을 복용하지 마십시오.정해진 용법과 용량을 잘 지키십시오.","","","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2020-12-24 00:00:00","2021-01-29","","1048148421","20"
"25","한림제약(주)","엔클비액(염화나트륨)","199303012","이 약은 비점막 건조 증상의 완화에 사용합니다.","성인은 증상에 따라 필요시 각 비강에 2방울씩 점적합니다.연령, 증상에 따라 적절히 증감합니다.","","이 약 또는 벤잘코늄염화물에 과민증(발진, 발적, 종창, 자극감 등) 환자는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 점비약에 과민증 환자는 의사 또는 약사와 상의하십시오.이 약은 점비용으로만 사용하십시오.","","","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2024-02-05","","1358102638","25"
"10","(주)유한양행","삐콤정","196200034","이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시 비타민 B1, B2, B6, C의 보급에 사용합니다.","만 8세 이상 및 성인은 1회 1~3정씩, 1일 1회 복용합니다.","","이 약에 과민증 환자,?만 3개월 이하의 젖먹이,?갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?고옥살산뇨증(요중에 과량의 수산염이 배설되는 상태),?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 미숙아, 유아,?통풍, 신장결석,?폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.","레보도파와?함께 복용하지 마십시오.","구역, 구토, 설사, 묽은 변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2020-12-24 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153495248483300010","1188100601","10"
"12","(주)그린제약","지겔트라현탁액","199001305","이 약은 위염, 식도염, 소화불량, 가슴쓰림, 열공(구멍)헤르니아(탈장), 복부(배부분)팽만감에 사용합니다.","성인은 1회 10 g 1일 2~4회 식전 및 취침시에 복용합니다.","","3개월 미만의 영아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 3개월 이상 및 1세 미만의 영아는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도?복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","","","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","","3018112878","12"
"13","삼남제약(주)","게루삼정","196400046","이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","만 15세 이상 및 성인은 1회 2정, 만 8세 이상 15세 미만은 1회 1정, 1일 3회 식간(식사때와 식사때 사이) 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다.","","투석요법을 받고 있는 환자, 만 7세 이하의 어린이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 신장장애 환자, 나트륨 제한 식이를 하는 사람은?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.","테트라사이클린계 항생제와 함께 복용하지 마십시오.","변비, 설사 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154307400984500104","3058118345","13"
"14","원광제약(주)","보화소합원(대환,소환)","196400089","이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.","대환은 1회 1∼2환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.소환은 1회 8∼16환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.","","만 7세 이하의 소아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 혈압이 높은 환자, 고령자,?심장 또는 신장(콩팥)에 장애가 있는 환자,?부종(부기)이 있는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.","칼륨함유제제, 감초함유제제, 글리시리진산 혹은 그 염류 함유제제, 루프계 이뇨제(푸로세미드, 에타크린산) 또는 티아지드계 이뇨제(트리클로르메티아지드)를 복용하는 사람은?의사 또는 약사와 상의하십시오.","요량이 감소하거나 얼굴과 손발이 붓고, 눈꺼풀이 무거워지고, 손이 굳어지고, 혈압이 높아지거나 두통, 근병증(무력감, 사지경련, 마비 등)이?나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기와 빛을 피해 건냉암소에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2020-12-24 00:00:00","2021-01-29","","4038107268","14"
"26","동성제약(주)","지노콜시럽(구연산부타미레이트)","199400693","이 약은 급성기침, 경련성기침, 흡연성기침, 기관지경 검사 전·후의 기침 억제에 사용합니다.","성인은 1회 15 mL (22.5 mg), 1일 4회, 12~14세는 1회 15 mL (22.5 mg), 6~11세는?1회 10 mL (15 mg), 3~5세는 1회 5 mL (7.5 mg), 1일 3회 복용합니다.","","이 약에 과민증 환자, 임부는 이 약을 복용하지 마십시오.","","드물게 발열, 구역, 구토, 설사 또는 졸음, 발진 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","습기를 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-02-25 00:00:00","2021-02-25","","2118125288","26"
"27","오스템파마주식회사","제로미아액","199502669","이 약은 약물치료, 구강 또는 인후 부근의 방사선 치료, 타액선 감염, 구강 또는 인후감염, 치아 또는 구강수술, 발열, 정서적요인으로 인한 타액분비감소에 사용합니다.","구강내 습기를 유지하는데 필요한 만큼 또는 의사의 지시에 따라 구강이나 인후에 1~2회 동안 직접 분무합니다.","","이 약에 과민증 환자는 이 약을 사용하지 마십시오.눈에 분무하지 마십시오.","","","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-02-25 00:00:00","2021-02-25","","8338600063","27"
"28","(주)퍼슨","성광멸균바세린거즈(백색바셀린)","199600443","이 약은 경미한 화상 및 상처에 사용합니다.","1일 1~2회 환부의 크기에 따라 적당히 절단하여 환부에 부착합니다.","","외용으로만 사용하십시오.눈에 들어가지 않도록 주의하십시오.깊은, 찔린 또는 찢긴 상처 및 감염 부위에 사용하지 마십시오.도포하기 전 환부를 깨끗이 씻은 후 사용하십시오.","","","빛을 피해 실온에서 보관하십시오.","2021-01-29 00:00:00","2021-01-29","","1308168218","28"
"31","(주)한도상사","미보(MEBO)연고","199604959","이 약은 화상 또는 상처에 사용합니다.","1일 2~3회 상처부위에 얇게 바릅니다.","","안과용으로 사용하지 마십시오.","","감작증후(소양(가려움), 발적(충혈되어 붉어짐), 종창(부기), 구진, 소수포(물집) 등)가 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","서늘한 곳에 실온에서 보관하십시오.","2020-12-24 00:00:00","2021-12-21","","1378115556","31"
"15","지엘파마(주)","지엘타이밍정(카페인무수물)","196500051","이 약은 졸음에 사용합니다.","성인은 1회 2~6정(100~300 mg)씩, 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.","","갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성?및 수유부, 고령자, 위궤양 환자 또는 경험자, 심질환, 녹내장 환자는 의사 또는 약사와 상의하십시오.","","만성 녹내장을 악화시킬 경우?복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-10-01 00:00:00","2021-10-01","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NAT_bwbZd9","1238114470","15"
"16","동아제약(주)","베스타제정","196600011","이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다.","","7세 미만의 영·유아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.","","","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427311457100131","2048640118","16"
"17","동아제약(주)","베스타제당의정","196600012","이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다.","","7세 미만의 영·유아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.","","","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MoApPycZgS","2048640118","17"
"21","조아제약(주)","에바치온캡슐(글루타티온)","199202273","이 약은 약물중독에 사용합니다.","성인은 1회 1~2캡슐(50~100 mg), 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.","","Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.","","드물게 발진, 식욕부진, 구역, 구토, 위통 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2020-12-24 00:00:00","2024-02-05","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151577167067000087","6088124071","21"
"22","일양약품(주)","원비디","196600063","이 약은 자양강장, 허약체질 보조 및 개선, 피로회복에 사용합니다.","15세 이상 및 성인은 1회 1병, 1일 1~2회 복용합니다.","","이 약에 과민증 환자는 이 약을 복용하지 마십시오.이 약은 생약엑스 배합 제제이므로 때때로 침전이 생기는 경우가 있지만, 약효는 변함이 없으므로 잘 흔들어 복용하십시오.정해진 용법과 용량을 잘 지키십시오.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.","","구역, 구토, 묽은 변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.피부, 눈, 점막에 경미한 자극 등이 나타날 수 있습니다.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2020-12-24 00:00:00","2021-01-29","","2098100872","22"
"23","신신제약(주)","에어신신파스","196700061","이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.","1일 1회~수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.","","30개월 이하의 유아,?눈 주위, 점막 등,?습진, 옻 등에 의한 피부염, 상처부위에는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 이 약이나 화장품 등에 과민증 환자, 알레르기 체질, 습윤(습기 참)이나 미란(짓무름)이 심한 환자, 의사의 치료를 받고 있는 환자, 소아, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.5~6회 투여하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.이 약은 외용으로만 사용하십시오.눈에 들어가지 않도록 주의하십시오.사용 전에 잘 흔들어 사용하며 환부(질환부위)로부터 20 cm의 거리에서 뿌리되 동일 부위에 연속하여 3초 이상 뿌리지 않습니다.화기를 사용하고 있는 실내에서 사용하지 말고 밀폐된 실내에서 사용한 후에는 반드시 환기를 실시하십시오.","","발진ㆍ발적(충혈되어 붉어짐), 가려움, 부종(부기) 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.","실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.화기 근처에 두지 마십시오.밀폐된 장소에 보관하지 마십시오.사용 후 잔가스가 없도록 하여 버리십시오.","2020-12-24 00:00:00","2024-01-11","","1188104136","23"
"32","한림제약(주)","한림포비돈점안액(수출명:한비돈점안액)","199803472","이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.","1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.","","치료 중에는 소프트콘택트렌즈의 착용을 피하십시오.점안용으로만 사용하십시오.오염을 방지하기 위해 될 수 있는 한 공동으로 사용하지 마십시오.","","매우 드물게 과민반응이 나타날 수 있습니다.","습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.","2021-01-29 00:00:00","2021-01-29","","1358102638","32"
